new entry "Rush_BatteringRam"
type "SkillData"
data "SkillType" "Rush"
data "ForGameMaster" "Yes"
data "Ability" "Warrior"
data "Tier" "Starter"
data "Requirement" "MeleeWeapon"
data "ActionPoints" "2"
data "Cooldown" "5"
data "Damage Multiplier" "50"
data "SkillProperties" "KNOCKED_DOWN,100,1"
data "DeathType" "Physical"
data "TargetRadius" "12"
data "HitRadius" "1"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "TargetConditions" "!Ally"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "Yes"
data "UseWeaponProperties" "Yes"
data "ContinueOnKill" "No"
data "Icon" "Skill_Warrior_BatteringRam"
data "DisplayName" "Rush_BatteringRam_DisplayName"
data "DisplayNameRef" "Battering Ram"
data "Description" "Rush_BatteringRam_Description"
data "DescriptionRef" "Rush forward in a straight line, to a point far away, hitting all enemies in your path with [1] damage."
data "StatsDescription" "Rush_BatteringRam_StatsDescription"
data "StatsDescriptionRef" "Range: [2]"
data "StatsDescriptionParams" "Damage;TargetRadius"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_rush_01_start"
data "PrepareAnimationLoop" "skill_prepare_rush_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Prepare_Rush_Root_01"
data "CastAnimation" "skill_cast_rush_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Air_BatteringRam_Cast_Body_01:Dummy_CastFX;RS3_FX_Skills_Air_BatteringRam_Cast_Root_01"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "TargetHitEffect" "RS3_FX_Skills_Air_BatteringRam_Impact_01"
data "StartTextEvent" "move_start"
data "StopTextEvent" "move_stop"
data "Requirements" "!Immobile"
data "MemorizationRequirements" "WarriorLore 1"
data "OverrideMinAP" "Yes"

