new entry "Summon_EnemyDemon_Doctor"
type "SkillData"
data "SkillType" "Summon"
data "ForGameMaster" "No"
data "IsEnemySkill" "Yes"
data "Ability" "None"
data "ActionPoints" "2"
data "Cooldown" "4"
data "Lifetime" "5"
data "SummonLevel" "-1"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "Template" "e829ed95-ed08-44aa-86e9-27c7a0d218be"
data "TargetRadius" "15"
data "SummonCount" "1"
data "DisplayName" "Summon_EnemyDemon_Doctor_DisplayName"
data "DisplayNameRef" "Forbidden Ritual"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Voodoo_Prepare_Voodoo_Blood_Root_01,KeepRot;"
data "CastAnimation" "skill_cast_summon_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffectTextEvent" "cast"
data "TargetCastEffect" "RS3_FX_Skills_Totem_Impact_Summon_Blood_01"
data "AiCalculationSkillOverride" "Target_DummyTargetSkill"

