new entry "Tornado_Air"
type "SkillData"
data "SkillType" "Tornado"
data "ForGameMaster" "Yes"
data "Ability" "Air"
data "ActionPoints" "3"
data "Cooldown" "10"
data "TargetRadius" "17"
data "HitRadius" "2"
data "RandomPoints" "7"
data "DeathType" "Physical"
data "SurfaceType" "None"
data "SurfaceStatusChance" "100"
data "PointsMaxOffset" "5"
data "MemorizationRequirements" "AirSpecialist 3"
data "Icon" "Skill_Air_Tornado"
data "DisplayName" "Tornado_Air_DisplayName"
data "DisplayNameRef" "Tornado"
data "Description" "Tornado_Air_Description"
data "DescriptionRef" "Unleashes a devastating tornado that leaves a trail of water in it's wake. Anything hit by it is dealt [1] air damage, as well as being slowed, knocked down, and soaked."
data "StatsDescriptionParams" "Damage"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Prepare_Air_Tornado_Root_01,KeepRot,Detach:root;RS3_FX_Skills_Air_Prepare_Air_Tornado_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_cone_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Air_Cast_Cone_Air_Tornado_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Air_Cast_Cone_Air_Tornado_Hand_Cast_01:Dummy_L_HandFX,Dummy_R_HandFX:cast"
data "TargetEffect" "RS3_FX_UI_TargetPreviewer_Air_01"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Damage Multiplier" "125"
data "Damage Range" "25"
data "DamageType" "Air"
data "SkillProperties" "WET,100,2;SLOWED,100,2;KNOCKED_DOWN,100,1;CreateSurface,2,2,Water,100"
data "SurfaceRadius" "1"

