new entry "ASC_FROZEN"
type "StatusData"
data "StatusType" "INCAPACITATED"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "ASC_FROZEN_DisplayName"
data "DisplayNameRef" "Frozen"
data "Description" "ASC_FROZEN_Description"
data "DescriptionRef" "Character is frozen solid and cannot act. Cured by Magic Shell, Bless."
data "Icon" "statIcons_Frozen"
data "FormatColor" "Water"
data "StatusEffect" "RS3_FX_GP_Status_Frozen_01"
data "StatusEffectOverrideForItems" "RS3_FX_GP_Status_Item_Frozen_01"
data "MaterialType" "FadingOverlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "Yes"
data "MaterialApplyNormalMap" "Yes"
data "MaterialFadeAmount" "3000"
data "MaterialParameters" "freezeDirection:SourceDirection"
data "SoundStart" "Status_Tex_Frozen_Start"
data "SoundLoop" "Status_Tex_Frozen_Loop"
data "SoundStop" "Status_Tex_Frozen_Stop"
data "ImmuneFlag" "FreezeImmunity"
data "StatsId" "Stats_Frozen"
data "FreezeTime" "3000"
data "StackId" "Stack_ASC_Chilled"
data "StackPriority" "5"

